HPO_ICD10_ID	HPO_IDs	HPO_Strings	HPO_Syns	ICD10
HPO_ICD:0	{'HP:0000011'}	{'Neurogenic bladder'}	{'Lack of bladder control due to nervous system injury'}	{'N311', 'N310', 'N319'}
HPO_ICD:1	{'HP:0000012'}	{'Urinary urgency'}	{'Overactive bladder', 'Urinary urgency', 'Overactive bladder syndrome', 'Urgency frequency syndrome'}	{'R3915'}
HPO_ICD:2	{'HP:0000013'}	{'Hypoplasia of the uterus'}	{'Underdeveloped uterus', 'Rudimentary uterus', 'Small uterus', 'Hypoplastic uterus'}	{'Q51811'}
HPO_ICD:3	{'HP:0000015'}	{'Bladder diverticulum'}	{'Bladder diverticula'}	{'N323'}
HPO_ICD:4	{'HP:0000016'}	{'Urinary retention'}	{'Increased post-void residual urine volume'}	{'R39198', 'R339'}
HPO_ICD:5	{'HP:0000017'}	{'Nocturia'}	{'Nycturia'}	{'R351'}
HPO_ICD:6	{'HP:0000019'}	{'Urinary hesitancy'}	{'Difficulty with flow'}	{'R3911'}
HPO_ICD:7	{'HP:0000023'}	{'Inguinal hernia'}	set()	{'K4090'}
HPO_ICD:8	{'HP:0000024'}	{'Prostatitis'}	{'Inflammation of the prostate'}	{'N419'}
HPO_ICD:9	{'HP:0008720', 'HP:0000026', 'HP:0008226'}	{'Male hypogonadism', 'Primary testicular failure', 'Androgen insufficiency'}	{'Decreased function of male gonad', 'Hypoandrogenism'}	{'E291'}
HPO_ICD:10	{'HP:0000027'}	{'Azoospermia'}	{'Absent sperm in semen'}	{'N46025', 'N46021', 'N4601', 'N46024', 'N46023', 'N46022'}
HPO_ICD:11	{'HP:0012741', 'HP:0000028'}	{'Cryptorchidism', 'Unilateral cryptorchidism'}	{'Undescended testis', 'Cryptorchism', 'Undescended testes', 'Cryptorchidism, unilateral'}	{'Q5320', 'Q5310', 'Q5312', 'Q5301', 'Q5300', 'Q5302', 'Q5322', 'Q539'}
HPO_ICD:12	{'HP:0000029'}	{'Testicular atrophy'}	{'Testicular degeneration'}	{'N500'}
HPO_ICD:13	{'HP:0000031'}	{'Epididymitis'}	set()	{'N451'}
HPO_ICD:14	{'HP:0000034', 'HP:0100673'}	{'Hydrocele testis', 'Vaginal hydrocele'}	{'Hydrocele', 'Testicular hydrocele'}	{'N433'}
HPO_ICD:15	{'HP:0000035'}	{'Abnormal testis morphology'}	{'Abnormality of the testis', 'Anomaly of the testes'}	{'Q5520'}
HPO_ICD:16	{'HP:0000037', 'HP:0008656'}	{'Male pseudohermaphroditism', 'Incomplete male pseudohermaphroditism'}	set()	{'Q561'}
HPO_ICD:17	{'HP:0000039'}	{'Epispadias'}	set()	{'Q640'}
HPO_ICD:18	{'HP:0000040'}	{'Long penis'}	{'Long penis', 'Enlarged penis'}	{'N4889'}
HPO_ICD:19	{'HP:0008213', 'HP:0000839', 'HP:0000830', 'HP:0040075', 'HP:0000824', 'HP:0000044', 'HP:0000871', 'HP:0008202'}	{'Prolactin deficiency', 'Anterior hypopituitarism', 'Panhypopituitarism', 'Pituitary dwarfism', 'Hypogonadotrophic hypogonadism', 'Gonadotropin deficiency', 'Growth hormone deficiency', 'Hypopituitarism'}	{'Somatotropin deficiency', 'Pituitary gonadotropin deficiency', 'Hypogonadism, hypogonadotropic', 'Growth hormone deficiency', 'Isolated hypogonadotropic hypogonadism', 'Low gonadotropins (secondary hypogonadism)'}	{'E230'}
HPO_ICD:20	{'HP:0000046', 'HP:0012870', 'HP:0030276'}	{'Scrotal hypoplasia', 'Small scrotum', 'Vanishing testis'}	{'Hypoplastic scrotum', 'Smaller than typical growth of scrotum', 'Small scrotum', 'Vanishing testis', 'Underdeveloped scrotum', 'Testicular regression syndrome'}	{'Q551'}
HPO_ICD:21	{'HP:0000807', 'HP:0008743', 'HP:0000808', 'HP:0003244', 'HP:0000051', 'HP:0000047', 'HP:0012853'}	{'Perineal hypospadias', 'Hypospadias', 'Penile hypospadias', 'Glandular hypospadias', 'Coronal hypospadias', 'Scrotal hypospadias', 'Penoscrotal hypospadias'}	{'Subcoronal hypospadias', 'Hypospadia'}	{'Q542', 'Q549', 'Q540', 'Q543', 'Q541', 'Q548'}
HPO_ICD:22	{'HP:0008715', 'HP:0008707', 'HP:0000048'}	{'Absent scrotum', 'Testicular dysgenesis', 'Bifid scrotum'}	{'Absent scrotum', 'Scrotal cleft', 'Cleft of scrotum'}	{'Q5529'}
HPO_ICD:23	{'HP:0000054', 'HP:0030260', 'HP:0008736'}	{'Micropenis', 'Microphallus', 'Hypoplasia of penis'}	{'Short penis', 'Small penis', 'Underdeveloped penis'}	{'Q5562'}
HPO_ICD:24	{'HP:0000062'}	{'Ambiguous genitalia'}	{'Intersex genitalia', 'Ambiguous external genitalia', 'Ambiguous external genitalia at birth'}	{'Q564'}
HPO_ICD:25	{'HP:0000072'}	{'Hydroureter'}	{'Ureteral dilatation', 'Uroureter', 'Megaureter', 'Swelling of ureter'}	{'N2882', 'N134'}
HPO_ICD:26	{'HP:0012572', 'HP:0000073'}	{'Ureter duplex', 'Ureteral duplication'}	{'Double ureter'}	{'Q625'}
HPO_ICD:27	{'HP:0000074', 'HP:0000071', 'HP:0005200', 'HP:0006000'}	{'Ureteral obstruction', 'Ureteropelvic junction obstruction', 'Retroperitoneal fibrosis', 'Ureteral stenosis'}	{'Pelviureteric junction obstruction', 'Narrowing of the ureter'}	{'N135', 'Q6239'}
HPO_ICD:28	{'HP:0000075'}	{'Renal duplication'}	{'Extra kidney', 'Supernumerary kidney'}	{'Q630'}
HPO_ICD:29	{'HP:0000076'}	{'Vesicoureteral reflux'}	{'Ureteral reflux', 'Ureteric reflux', 'Vesicoureteric reflux'}	{'N1370'}
HPO_ICD:30	{'HP:0000112', 'HP:0000077', 'HP:0012210'}	{'Nephropathy', 'Abnormality of the kidney', 'Abnormal renal morphology'}	{'Kidney damage', 'Renal anomaly', 'Kidney malformation', 'Abnormal kidney morphology', 'Renal anomalies', 'Abnormally shaped kidney', 'Structural anomalies of the renal tract', 'Structural renal anomalies', 'Abnormality of the kidney', 'Renal malformation', 'Kidney disease', 'Kidney structure issue', 'Structural kidney abnormalities', 'Abnormal kidney'}	{'N289', 'N08', 'Q639'}
HPO_ICD:31	{'HP:0000083'}	{'Renal insufficiency'}	{'Renal failure in adulthood', 'Renal failure'}	{'N19', 'N289'}
HPO_ICD:32	{'HP:0004717', 'HP:0004712', 'HP:0000086', 'HP:0000125'}	{'Renal malrotation', 'Axial malrotation of the kidney', 'Pelvic kidney', 'Ectopic kidney'}	{'Sacral kidney', 'Ectopic kidneys', 'Malrotation of the kidney', 'Displaced kidney', 'Renal ectopia', 'Abnormal rotation of the kidneys', 'Abnormal kidney location'}	{'Q632'}
HPO_ICD:33	{'HP:0000089', 'HP:0008660'}	{'Renotubular dysgenesis', 'Renal hypoplasia'}	{'Hypoplastic kidneys', 'Small kidneys', 'Underdeveloped kidneys', 'Renal tubular dysgenesis', 'Hypoplastic kidney'}	{'Q605'}
HPO_ICD:34	{'HP:0012592', 'HP:0000093', 'HP:0012594', 'HP:0012593', 'HP:0030156'}	{'Nephrotic range proteinuria', 'Bence Jones Proteinuria', 'Proteinuria', 'Albuminuria', 'Microalbuminuria'}	{'High urine albumin levels', 'High urine protein levels', 'Protein in urine'}	{'R800', 'R801', 'R803', 'R809', 'R808'}
HPO_ICD:35	{'HP:0000097'}	{'Focal segmental glomerulosclerosis'}	{'Focal and segmental glomerular sclerosis', 'focal glomerulosclerosis', 'Focal and segmental glomerulosclerosis'}	{'N051'}
HPO_ICD:36	{'HP:0000098'}	{'Tall stature'}	{'Increased linear growth', 'Accelerated linear growth', 'Tall stature', 'Increased body height'}	{'E344'}
HPO_ICD:37	{'HP:0000099', 'HP:0100820', 'HP:0000123'}	{'Glomerulopathy', 'Glomerulonephritis', 'Nephritis'}	{'Glomerular nephritis', 'Diseased glomeruli', 'Kidney inflammation'}	{'N08', 'N059'}
HPO_ICD:38	{'HP:0000100'}	{'Nephrotic syndrome'}	{'Nephrosis'}	{'N049'}
HPO_ICD:39	{'HP:0000103'}	{'Polyuria'}	{'Increased urine output'}	{'R358'}
HPO_ICD:40	{'HP:0000104'}	{'Renal agenesis'}	{'Renal aplasia', 'Missing kidney', 'Absent kidney'}	{'Q602'}
HPO_ICD:41	{'HP:0000105'}	{'Enlarged kidney'}	{'Enlarged kidney', 'Large kidney', 'Large kidneys', 'Renal enlargement', 'Nephromegaly'}	{'N2881'}
HPO_ICD:42	{'HP:0000107'}	{'Renal cyst'}	{'Cystic kidney disease', 'Cystic kidneys', 'Renal cysts', 'Kidney cyst'}	{'N281'}
HPO_ICD:43	{'HP:0008327', 'HP:0012408', 'HP:0012409', 'HP:0000121'}	{'Microscopic nephrocalcinosis', 'Nephrocalcinosis', 'Medullary nephrocalcinosis', 'Cortical nephrocalcinosis'}	{'Too much calcium deposited in kidneys', 'Increased calcium level in kidney'}	{'N29', 'E8359'}
HPO_ICD:44	{'HP:0000122'}	{'Unilateral renal agenesis'}	{'Missing one kidney', 'Unilateral kidney agenesis', 'Single kidney', 'Absent kidney on one side'}	{'Q600'}
HPO_ICD:45	{'HP:0000124'}	{'Renal tubular dysfunction'}	{'Abnormal function of filtrating structures in kidney', 'Renal tubular disease', 'Renal tubular defect'}	{'N259'}
HPO_ICD:46	{'HP:0000126'}	{'Hydronephrosis'}	set()	{'N131', 'N132', 'N1330', 'N1339'}
HPO_ICD:47	{'HP:0000130'}	{'Abnormality of the uterus'}	{'Uterine abnormalities', 'Uterine malformations', 'Abnormality of the uterus'}	{'Q519'}
HPO_ICD:48	{'HP:0100882', 'HP:0100804', 'HP:0009730', 'HP:0000131', 'HP:0009724', 'HP:0010614'}	{'Rhabdomyoma', 'Fibroma', 'Subungual fibromas', 'Ungual fibroma', 'Uterine leiomyoma', 'Fibrous hamartoma'}	"{'Benign uterine leiomyomas', 'Subungual fibroma', 'Parungual fibromas', 'Fibrous hamartoma of infancy', 'Koenen tumor', 'Uterine fibroid', ""Koenen's tumor"", 'Periungual fibroma'}"	{'D259', 'D219'}
HPO_ICD:49	{'HP:0400007', 'HP:0000132'}	{'Polymenorrhea', 'Menorrhagia'}	{'Hypermenorrhea', 'Abnormally heavy bleeding during menstruation'}	{'N920'}
HPO_ICD:50	{'HP:0000133'}	{'Gonadal dysgenesis'}	{'Pure gonadal dysgenesis', 'Mixed gonadal dysgenesis'}	{'Q964', 'Q963', 'Q962', 'Q961', 'Q968', 'Q960', 'Q969'}
HPO_ICD:51	{'HP:0000137'}	{'Abnormality of the ovary'}	{'Abnormality of the ovaries', 'Ovarian disease', 'Abnormality of the ovary'}	{'N839'}
HPO_ICD:52	{'HP:0012886', 'HP:0000138'}	{'Hemorrhagic ovarian cyst', 'Ovarian cyst'}	{'Cystic ovaries', 'Ovarian cystic abnormality', 'Cystic abnormalities of the ovaries', 'Ovarian cyst'}	{'N83209'}
HPO_ICD:53	{'HP:0000139'}	{'Uterine prolapse'}	{'Sagging uterus'}	{'N814'}
HPO_ICD:54	{'HP:0000143'}	{'Rectovaginal fistula'}	{'Abnormal connection between rectum and vagina'}	{'N823'}
HPO_ICD:55	{'HP:0000144'}	{'Decreased fertility'}	{'Abnormal fertility', 'Decreased fertility'}	{'R3989'}
HPO_ICD:56	{'HP:0000145'}	{'Transverse vaginal septum'}	{'Transverse vaginal membrane'}	{'Q5211'}
HPO_ICD:57	{'HP:0000147'}	{'Polycystic ovaries'}	{'Sclerocystic ovaries', 'Polycystic ovary', 'Polycystic ovary disease'}	{'E282'}
HPO_ICD:58	{'HP:0003250', 'HP:0000148', 'HP:0012674'}	{'Aplasia of the lower vagina', 'Aplasia of the vagina', 'Vaginal atresia'}	{'Absent lower vagina', 'Absent vagina', 'Abnormally closed or absent vagina', 'Congenital absence of the vagina', 'Agenesis of the lower vagina'}	{'Q520'}
HPO_ICD:59	{'HP:0000149'}	{'Ovarian gonadoblastoma'}	{'Gonadoblastoma, female'}	{'D3910'}
HPO_ICD:60	{'HP:0000153'}	{'Abnormality of the mouth'}	{'Abnormality of the mouth', 'Abnormal mouth'}	{'Q386'}
