OMIM_ICD_ID	ICD_Codes	ICD_Strings	OMIM_IDs	HPO_Anno
OMIM_ICD:0	frozenset({'E3451', 'E3452', 'E3450'})	{'Partial androgen insensitivity syndrome', 'Complete androgen insensitivity syndrome', 'Androgen insensitivity syndrome, unspecified'}	{'OMIM:300068'}	{'HP:0008730', 'HP:0000786', 'HP:0002225', 'HP:0002215', 'HP:0002550', 'HP:0001507', 'HP:0000023', 'HP:0001419', 'HP:0002664', 'HP:0008232', 'HP:0040314', 'HP:0000066', 'HP:0000771', 'HP:0011969'}
OMIM_ICD:1	frozenset({'Q777'})	{'Spondyloepiphyseal dysplasia'}	{'OMIM:183900'}	{'HP:0002808', 'HP:0000470', 'HP:0000272', 'HP:0002650', 'HP:0002812', 'HP:0008857', 'HP:0012368', 'HP:0000768', 'HP:0002655', 'HP:0000175', 'HP:0010501', 'HP:0001290', 'HP:0008800', 'HP:0000545', 'HP:0000926', 'HP:0001252', 'HP:0008788', 'HP:0000006', 'HP:0003300', 'HP:0008142', 'HP:0003071', 'HP:0002938', 'HP:0002515', 'HP:0002091', 'HP:0002827', 'HP:0002996', 'HP:0002318', 'HP:0001762', 'HP:0003311', 'HP:0002098', 'HP:0007773', 'HP:0001552', 'HP:0000541'}
OMIM_ICD:2	frozenset({'Q774'})	{'Achondroplasia'}	{'OMIM:100800'}	{'HP:0002781', 'HP:0002938', 'HP:0001156', 'HP:0001355', 'HP:0002512', 'HP:0008414', 'HP:0000272', 'HP:0002970', 'HP:0008921', 'HP:0008947', 'HP:0001377', 'HP:0000405', 'HP:0002761', 'HP:0000403', 'HP:0002007', 'HP:0005733', 'HP:0100864', 'HP:0000238', 'HP:0011800', 'HP:0002677', 'HP:0000006', 'HP:0005280', 'HP:0001270', 'HP:0004060', 'HP:0008905', 'HP:0003093', 'HP:0003015'}
OMIM_ICD:3	frozenset({'D8982'})	{'Autoimmune lymphoproliferative syndrome [ALPS]'}	{'OMIM:601859'}	{'HP:0003262', 'HP:0003237', 'HP:0003261', 'HP:0002853', 'HP:0001973', 'HP:0002633', 'HP:0002923', 'HP:0002729', 'HP:0001880', 'HP:0002731', 'HP:0003454', 'HP:0002972', 'HP:0003496', 'HP:0002851', 'HP:0001890', 'HP:0003613', 'HP:0003493', 'HP:0001891', 'HP:0001744', 'HP:0002240', 'HP:0000006', 'HP:0001025', 'HP:0004844', 'HP:0003453', 'HP:0001904', 'HP:0002730'}
OMIM_ICD:4	frozenset({'E2681'})	"{""Bartter's syndrome""}"	{'OMIM:300971', 'OMIM:602522', 'OMIM:613090', 'OMIM:241200', 'OMIM:601678', 'OMIM:607364'}	{'HP:0002632', 'HP:0003394', 'HP:0008046', 'HP:0005579', 'HP:0002019', 'HP:0003401', 'HP:0000938', 'HP:0000325', 'HP:0002007', 'HP:0001290', 'HP:0000103', 'HP:0001518', 'HP:0001252', 'HP:0000400', 'HP:0001959', 'HP:0002902', 'HP:0002013', 'HP:0003527', 'HP:0003566', 'HP:0001622', 'HP:0000121', 'HP:0004322', 'HP:0005576', 'HP:0003577', 'HP:0001944', 'HP:0003127', 'HP:0004737', 'HP:0004909', 'HP:0001561', 'HP:0000934', 'HP:0000848', 'HP:0003072', 'HP:0002900', 'HP:0000128', 'HP:0002014', 'HP:0001281', 'HP:0002914', 'HP:0001563', 'HP:0000407', 'HP:0005565', 'HP:0000859', 'HP:0011220', 'HP:0012605', 'HP:0001263', 'HP:0000111', 'HP:0002150', 'HP:0001425', 'HP:0012408', 'HP:0001265', 'HP:0000610', 'HP:0000843', 'HP:0001508', 'HP:0012213', 'HP:0000841', 'HP:0000083', 'HP:0002615', 'HP:0001419', 'HP:0001250', 'HP:0000591', 'HP:0001960', 'HP:0001945', 'HP:0003540', 'HP:0002917', 'HP:0003081', 'HP:0000256', 'HP:0003158', 'HP:0001249', 'HP:0003113', 'HP:0000969', 'HP:0001090', 'HP:0003324', 'HP:0001270', 'HP:0000007', 'HP:0001789', 'HP:0000127'}
OMIM_ICD:5	frozenset({'E7501'})	{'Sandhoff disease'}	{'OMIM:268800'}	{'HP:0001260', 'HP:0001278', 'HP:0001324', 'HP:0000280', 'HP:0000802', 'HP:0003202', 'HP:0001433', 'HP:0006901', 'HP:0000256', 'HP:0000966', 'HP:0007272', 'HP:0002028', 'HP:0010729', 'HP:0000618', 'HP:0002493', 'HP:0001640', 'HP:0002380', 'HP:0004343', 'HP:0001251', 'HP:0000975', 'HP:0001347', 'HP:0000020', 'HP:0002574', 'HP:0000007', 'HP:0000158'}
OMIM_ICD:6	frozenset({'E7502'})	{'Tay-Sachs disease'}	{'OMIM:272800'}	{'HP:0002361', 'HP:0002835', 'HP:0003495', 'HP:0000726', 'HP:0000741', 'HP:0000980', 'HP:0001290', 'HP:0002421', 'HP:0002267', 'HP:0003593', 'HP:0001250', 'HP:0010729', 'HP:0000007', 'HP:0000618', 'HP:0001276'}
OMIM_ICD:7	frozenset({'E7511'})	{'Mucolipidosis IV'}	{'OMIM:252650'}	{'HP:0007759', 'HP:0001263', 'HP:0007281', 'HP:0000648', 'HP:0003487', 'HP:0001272', 'HP:0001249', 'HP:0006989', 'HP:0004345', 'HP:0011020', 'HP:0002510', 'HP:0032448', 'HP:0002344', 'HP:0000505', 'HP:0000613', 'HP:0001290', 'HP:0001332', 'HP:0001347', 'HP:0001252', 'HP:0001344', 'HP:0003593', 'HP:0007266', 'HP:0000486', 'HP:0000007', 'HP:0000252', 'HP:0000654', 'HP:0000546', 'HP:0500167', 'HP:0001438'}
OMIM_ICD:8	frozenset({'E7521'})	{'Fabry (-Anderson) disease'}	{'OMIM:301500'}	{'HP:0001681', 'HP:0001903', 'HP:0012702', 'HP:0003394', 'HP:0002326', 'HP:0000966', 'HP:0000823', 'HP:0001155', 'HP:0001131', 'HP:0001014', 'HP:0003401', 'HP:0005144', 'HP:0012332', 'HP:0002027', 'HP:0011675', 'HP:0002018', 'HP:0001658', 'HP:0003621', 'HP:0002380', 'HP:0001635', 'HP:0006536', 'HP:0001712', 'HP:0000083', 'HP:0002014', 'HP:0001250', 'HP:0001419', 'HP:0002013', 'HP:0000822', 'HP:0000093', 'HP:0001004'}
OMIM_ICD:9	frozenset({'E7522'})	{'Gaucher disease'}	{'OMIM:231000', 'OMIM:230900', 'OMIM:610539', 'OMIM:230800', 'OMIM:231005'}	{'HP:0001538', 'HP:0002059', 'HP:0001903', 'HP:0006530', 'HP:0002653', 'HP:0001263', 'HP:0000623', 'HP:0001718', 'HP:0007759', 'HP:0006775', 'HP:0007817', 'HP:0001257', 'HP:0004325', 'HP:0002015', 'HP:0000938', 'HP:0003581', 'HP:0000478', 'HP:0001640', 'HP:0002100', 'HP:0011968', 'HP:0004380', 'HP:0000565', 'HP:0001508', 'HP:0001876', 'HP:0002123', 'HP:0002167', 'HP:0003656', 'HP:0001744', 'HP:0002240', 'HP:0025356', 'HP:0002113', 'HP:0001250', 'HP:0002756', 'HP:0000716', 'HP:0004934', 'HP:0000657', 'HP:0004975', 'HP:0001971', 'HP:0004322', 'HP:0002092', 'HP:0007975', 'HP:0007885', 'HP:0001433', 'HP:0000211', 'HP:0001336', 'HP:0004963', 'HP:0000421', 'HP:0000953', 'HP:0010885', 'HP:0011813', 'HP:0002344', 'HP:0002094', 'HP:0000726', 'HP:0001251', 'HP:0001347', 'HP:0002063', 'HP:0002953', 'HP:0002313', 'HP:0002104', 'HP:0007401', 'HP:0000238', 'HP:0000486', 'HP:0001873', 'HP:0001270', 'HP:0000007', 'HP:0002483', 'HP:0000666', 'HP:0004382', 'HP:0000822', 'HP:0001761'}
