OMIM_ICD_ID	ICD_Codes
OMIM_ICD:0	E345
OMIM_ICD:1	Q777
OMIM_ICD:2	Q774
OMIM_ICD:13	E754
OMIM_ICD:14	D71
OMIM_ICD:15	D841
OMIM_ICD:16	E310
OMIM_ICD:17	E791
OMIM_ICD:19	Q811
OMIM_ICD:20	Q810
OMIM_ICD:21	Q812
OMIM_ICD:22	D800
OMIM_ICD:23	Q800
OMIM_ICD:24	Q801
OMIM_ICD:25	Q802
OMIM_ICD:26	Q803
OMIM_ICD:27	Q804
OMIM_ICD:28	Q821
OMIM_ICD:29	Q934
OMIM_ICD:30	E840,E849,E848,E841
OMIM_ICD:31	E850
OMIM_ICD:32	E851
OMIM_ICD:33	E710
OMIM_ICD:57	E724
OMIM_ICD:68	E760
OMIM_ICD:69	E761
OMIM_ICD:72	E770
OMIM_ICD:73	E771
OMIM_ICD:74	E780
OMIM_ICD:77	E800
OMIM_ICD:79	E803
OMIM_ICD:80	E804
OMIM_ICD:81	E805
OMIM_ICD:82	E830
OMIM_ICD:89	D610
OMIM_ICD:90	E700
OMIM_ICD:91	E702
OMIM_ICD:97	G241
OMIM_ICD:98	Q776
OMIM_ICD:100	Q992
OMIM_ICD:101	G113
OMIM_ICD:102	D550
OMIM_ICD:103	D66
OMIM_ICD:104	D67
OMIM_ICD:105	D680
OMIM_ICD:106	D681
OMIM_ICD:108	I780
OMIM_ICD:109	G710
OMIM_ICD:113	G600
OMIM_ICD:114	Q431
OMIM_ICD:115	G10
OMIM_ICD:116	D805
OMIM_ICD:117	E250
OMIM_ICD:118	G901
OMIM_ICD:119	Q823
OMIM_ICD:120	Q874
OMIM_ICD:125	Q850
OMIM_ICD:126	Q851
OMIM_ICD:127	Q786
OMIM_ICD:128	F842
OMIM_ICD:129	D821
OMIM_ICD:130	D820
OMIM_ICD:132	Q611,Q613,Q612
OMIM_ICD:133	Q780
OMIM_ICD:134	D811,D810,D812
OMIM_ICD:135	D813
OMIM_ICD:136	D814
OMIM_ICD:137	D815
OMIM_ICD:138	D570,D571,D572
OMIM_ICD:139	D560
OMIM_ICD:140	D561
OMIM_ICD:141	Q933
OMIM_ICD:142	Q771
OMIM_ICD:143	Q775
OMIM_ICD:144	G601
OMIM_ICD:145	Q761
OMIM_ICD:146	G512
OMIM_ICD:147	G230
OMIM_ICD:150	G120
OMIM_ICD:152	Q773
OMIM_ICD:153	Q751
OMIM_ICD:155	Q783
OMIM_ICD:156	D644
OMIM_ICD:157	G723
OMIM_ICD:158	Q754
OMIM_ICD:161	D750
OMIM_ICD:162	D581
OMIM_ICD:164	E201
OMIM_ICD:165	D840
