ICD10 Codes	OMIM_ID
E3450,E3451,E3452	OMIM:300068
Q777	OMIM:183900
Q774	OMIM:100800
D8982	OMIM:601859
E2681	OMIM:601678,OMIM:613090,OMIM:607364,OMIM:241200,OMIM:300971,OMIM:602522
E7501	OMIM:268800
E7502	OMIM:272800
E7511	OMIM:252650
E7521	OMIM:301500
E7522	OMIM:231005,OMIM:231000,OMIM:230800,OMIM:230900,OMIM:610539
E7523	OMIM:245200,OMIM:611722
E75240,E75241,E75242,E75243,E75248,E75249	OMIM:607625,OMIM:257200,OMIM:257220,OMIM:607616
E7525	OMIM:156310,OMIM:249900,OMIM:156310,OMIM:249900,OMIM:250100
E754	OMIM:609055,OMIM:601780,OMIM:204300,OMIM:615362,OMIM:256730,OMIM:610003,OMIM:162350,OMIM:614706,OMIM:610951,OMIM:600143,OMIM:256731,OMIM:204500,OMIM:204200,OMIM:610127
D71	OMIM:306400,OMIM:613960,OMIM:233710,OMIM:233670,OMIM:233700,OMIM:233690,OMIM:138990
D841	OMIM:613790,OMIM:217000,OMIM:610102,OMIM:613789,OMIM:614380,OMIM:613825,OMIM:614379,OMIM:612446
E310	OMIM:304790
E791	OMIM:300322
E792	OMIM:615511
Q811	OMIM:226700
Q810	OMIM:131950,OMIM:601001,OMIM:615425,OMIM:131760,OMIM:226670
Q812	OMIM:226600
D800	OMIM:613500,OMIM:613501,OMIM:601495,OMIM:612692,OMIM:615214,OMIM:300755,OMIM:613506,OMIM:300310,OMIM:613502
Q800	OMIM:146700
Q801	OMIM:308100
Q802	OMIM:615023,OMIM:242300,OMIM:615022,OMIM:242100,OMIM:612281,OMIM:604777,OMIM:615024,OMIM:613943,OMIM:601277,OMIM:606545
Q803	OMIM:113800
Q804	OMIM:242500
Q821	OMIM:278780,OMIM:194400,OMIM:278760,OMIM:278720,OMIM:278700,OMIM:610651,OMIM:278730,OMIM:278750,OMIM:278740
Q934	OMIM:123450
E840,E8411,E8419,E848,E849	OMIM:219700
E850	OMIM:105200
E851	OMIM:105210
E710	OMIM:248600
E71110	OMIM:243500
E71111	OMIM:617698,OMIM:617248,OMIM:614739,OMIM:616271,OMIM:250950
E71120	OMIM:309541,OMIM:613646
E71121	OMIM:606054
E71310	OMIM:201475
E71311	OMIM:201450
E71312	OMIM:201470
E71313	OMIM:231680
E71314	OMIM:255120,OMIM:255110,OMIM:600649
E7141	OMIM:212140
E71440	OMIM:158350
